# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     389     0.04128     0.16890    -0.06993    0.518084255   -0.167854137   -0.685938392
     1     389    -0.04128     0.16890     0.06993    0.518084255   -0.185481851   -0.703566106
     1     389     0.04128     0.16890    -0.03476    0.517029323   -0.183631138   -0.700660461
     1     389    -0.04128     0.16890     0.03476    0.517029323   -0.192473946   -0.709503269
     1     389     0.04128     0.21113     0.00041    0.541895990   -0.147276610   -0.689172600
     1     389    -0.04128     0.21113    -0.00041    0.541895990   -0.147270562   -0.689166553
     1     389     0.04128     0.21113     0.03558    0.543404302   -0.134577163   -0.677981465
     1     389    -0.04128     0.21113    -0.03558    0.543404302   -0.134572922   -0.677977224
     1     389     0.04128     0.21113    -0.06993    0.543047910   -0.136174867   -0.679222776
     1     389    -0.04128     0.21113     0.06993    0.543047910   -0.136169191   -0.679217101
     1     389     0.04128     0.21113    -0.03476    0.541527190   -0.157135330   -0.698662520
     1     389    -0.04128     0.21113     0.03476    0.541527190   -0.157134057   -0.698661247
     1     389     0.04128    -0.16890     0.00041    0.517234654   -0.172490038   -0.689724692
     1     389    -0.04128    -0.16890    -0.00041    0.517234654   -0.195119182   -0.712353836
     1     389     0.04128    -0.16890     0.03558    0.518293015   -0.173111449   -0.691404464
     1     389    -0.04128    -0.16890    -0.03558    0.518293015   -0.182054749   -0.700347764
     1     389     0.04128    -0.16890    -0.06993    0.518086678   -0.185491062   -0.703577740
     1     389    -0.04128    -0.16890     0.06993    0.518086678   -0.167904325   -0.685991003
     1     389     0.04128    -0.16890    -0.03476    0.517032035   -0.192487889   -0.709519925
     1     389    -0.04128    -0.16890     0.03476    0.517032035   -0.183646208   -0.700678243
     1     389     0.04128    -0.12668     0.00041    0.496326083   -0.231742635   -0.728068718
     1     389    -0.04128    -0.12668    -0.00041    0.496326083   -0.219968243   -0.716294326
     1     389     0.04128    -0.12668     0.03558    0.497167648   -0.214702513   -0.711870161
     1     389    -0.04128    -0.12668    -0.03558    0.497167648   -0.208402196   -0.705569844
     1     389     0.04128    -0.12668    -0.06993    0.496815646   -0.206982813   -0.703798459
     1     389    -0.04128    -0.12668     0.06993    0.496815646   -0.221808803   -0.718624449
     1     389     0.04128    -0.12668    -0.03476    0.496002705   -0.231344466   -0.727347172
     1     389    -0.04128    -0.12668     0.03476    0.496002705   -0.232068278   -0.728070983
     1     389     0.04128    -0.08445     0.00041    0.477995353   -0.234681257   -0.712676610
     1     389    -0.04128    -0.08445    -0.00041    0.477995353   -0.255433006   -0.733428359
     1     389     0.04128    -0.08445     0.03558    0.478496186   -0.219644612   -0.698140798
     1     389    -0.04128    -0.08445    -0.03558    0.478496186   -0.228814034   -0.707310220
     1     389     0.04128    -0.08445    -0.06993    0.478070828   -0.242187078   -0.720257906
     1     389    -0.04128    -0.08445     0.06993    0.478070828   -0.221256847   -0.699327675
     1     389     0.04128    -0.08445    -0.03476    0.477567362   -0.256701307   -0.734268669
     1     389    -0.04128    -0.08445     0.03476    0.477567362   -0.252361020   -0.729928382
     1     389     0.04128    -0.04223     0.00041    0.463735337   -0.262816830   -0.726552168
     1     389    -0.04128    -0.04223    -0.00041    0.463735337   -0.269524656   -0.733259993
     1     389     0.04128    -0.04223     0.03558    0.463746139   -0.276083200   -0.739829339
     1     389    -0.04128    -0.04223    -0.03558    0.463746139   -0.269947044   -0.733693183
     1     389     0.04128    -0.04223    -0.06993    0.461092935   -0.138003379   -0.599096315
     1     389    -0.04128    -0.04223     0.06993    0.461092935   -0.149870268   -0.610963203
     1     389     0.04128    -0.04223    -0.03476    0.463102022   -0.139379197   -0.602481219
     1     389    -0.04128    -0.04223     0.03476    0.463102022   -0.146588345   -0.609690367
     1     389     0.08255     0.00000     0.00082    0.474442593   -0.264357071   -0.738799664
     1     389    -0.08255     0.00000    -0.00082    0.474442593   -0.264357071   -0.738799664
     1     389     0.08255     0.00000     0.03599    0.474363640   -0.263457732   -0.737821372
     1     389    -0.08255     0.00000    -0.03599    0.474363640   -0.258378338   -0.732741977
     1     389     0.08255     0.00000    -0.06952    0.473994824   -0.261311164   -0.735305988
     1     389    -0.08255     0.00000     0.06952    0.473994824   -0.255636516   -0.729631340
     1     389     0.08255     0.00000    -0.03435    0.474094372   -0.263882460   -0.737976832
     1     389    -0.08255     0.00000     0.03435    0.474094372   -0.263882460   -0.737976832
     1     389     0.08255     0.04223     0.00082    0.483021105   -0.252105004   -0.735126109
     1     389    -0.08255     0.04223    -0.00082    0.483021105   -0.230389249   -0.713410354
     1     389     0.08255     0.04223     0.03599    0.483227019   -0.224632159   -0.707859178
     1     389    -0.08255     0.04223    -0.03599    0.483227019   -0.251919761   -0.735146779
     1     389     0.08255     0.04223    -0.06952    0.482778721   -0.217200247   -0.699978968
     1     389    -0.08255     0.04223     0.06952    0.482778721   -0.239043494   -0.721822214
     1     389     0.08255     0.04223    -0.03435    0.482585788   -0.248666926   -0.731252714
     1     389    -0.08255     0.04223     0.03435    0.482585788   -0.216756003   -0.699341790
     1     389     0.08255     0.08445     0.00082    0.500082991   -0.192692471   -0.692775462
     1     389    -0.08255     0.08445    -0.00082    0.500082991   -0.190726982   -0.690809974
     1     389     0.08255     0.08445     0.03599    0.500604737   -0.187079384   -0.687684121
     1     389    -0.08255     0.08445    -0.03599    0.500604737   -0.190262560   -0.690867297
     1     389     0.08255     0.08445    -0.06952    0.499996033   -0.186113583   -0.686109617
     1     389    -0.08255     0.08445     0.06952    0.499996033   -0.191733341   -0.691729374
     1     389     0.08255     0.08445    -0.03435    0.499513309   -0.195886355   -0.695399665
     1     389    -0.08255     0.08445     0.03435    0.499513309   -0.192675727   -0.692189036
     1     389     0.08255     0.12668     0.00082    0.517578818   -0.176601312   -0.694180130
     1     389    -0.08255     0.12668    -0.00082    0.517578818   -0.176017901   -0.693596719
     1     389     0.08255     0.12668     0.03599    0.518520747   -0.172737902   -0.691258649
     1     389    -0.08255     0.12668    -0.03599    0.518520747   -0.173037540   -0.691558287
     1     389     0.08255     0.12668    -0.06952    0.518015520   -0.166268213   -0.684283733
     1     389    -0.08255     0.12668     0.06952    0.518015520   -0.169641964   -0.687657484
     1     389     0.08255     0.12668    -0.03435    0.517073423   -0.174696815   -0.691770237
     1     389    -0.08255     0.12668     0.03435    0.517073423   -0.174179605   -0.691253028
     1     389     0.08255     0.16890     0.00082    0.521818052   -0.155668996   -0.677487048
     1     389    -0.08255     0.16890    -0.00082    0.521818052   -0.137169783   -0.658987836
     1     389     0.08255     0.16890     0.03599    0.523545925   -0.135018080   -0.658564004
     1     389    -0.08255     0.16890    -0.03599    0.523545925   -0.156381841   -0.679927766
     1     389     0.08255     0.16890    -0.06952    0.523532713   -0.138732128   -0.662264841
     1     389    -0.08255     0.16890     0.06952    0.523532713   -0.154286749   -0.677819462
     1     389     0.08255     0.16890    -0.03435    0.521803358   -0.166475134   -0.688278492
     1     389    -0.08255     0.16890     0.03435    0.521803358   -0.137869621   -0.659672980
     1     389     0.08255     0.21113     0.00082    0.521852549   -0.137679810   -0.659532358
     1     389    -0.08255     0.21113    -0.00082    0.521852549   -0.137679555   -0.659532104
     1     389     0.08255     0.21113     0.03599    0.523812459   -0.135197501   -0.659009960
     1     389    -0.08255     0.21113    -0.03599    0.523812459   -0.135980424   -0.659792883
     1     389     0.08255     0.21113    -0.06952    0.524141913   -0.131605947   -0.655747860
     1     389    -0.08255     0.21113     0.06952    0.524141913   -0.132367995   -0.656509908
     1     389     0.08255     0.21113    -0.03435    0.522142283   -0.137211030   -0.659353313
     1     389    -0.08255     0.21113     0.03435    0.522142283   -0.137210625   -0.659352907
     1     389     0.08255    -0.16890     0.00082    0.521816918   -0.137176436   -0.658993353
     1     389    -0.08255    -0.16890    -0.00082    0.521816918   -0.155686440   -0.677503358
     1     389     0.08255    -0.16890     0.03599    0.523544747   -0.156392894   -0.679937641
     1     389    -0.08255    -0.16890    -0.03599    0.523544747   -0.134989897   -0.658534645
     1     389     0.08255    -0.16890    -0.06952    0.523531499   -0.154299156   -0.677830654
     1     389    -0.08255    -0.16890     0.06952    0.523531499   -0.138733463   -0.662264962
     1     389     0.08255    -0.16890    -0.03435    0.521802190   -0.137876248   -0.659678438
     1     389    -0.08255    -0.16890     0.03435    0.521802190   -0.166520112   -0.688322301
     1     389     0.08255    -0.12668     0.00082    0.517567367   -0.175955952   -0.693523319
     1     389    -0.08255    -0.12668    -0.00082    0.517567367   -0.176532944   -0.694100311
     1     389     0.08255    -0.12668     0.03599    0.518509240   -0.172968886   -0.691478125
     1     389    -0.08255    -0.12668    -0.03599    0.518509240   -0.172678520   -0.691187759
     1     389     0.08255    -0.12668    -0.06952    0.518004062   -0.166085829   -0.684089891
     1     389    -0.08255    -0.12668     0.06952    0.518004062   -0.167861301   -0.685865363
     1     389     0.08255    -0.12668    -0.03435    0.517062025   -0.174140765   -0.691202789
     1     389    -0.08255    -0.12668     0.03435    0.517062025   -0.174649760   -0.691711785
     1     389     0.08255    -0.08445     0.00082    0.500069375   -0.190656710   -0.690726085
     1     389    -0.08255    -0.08445    -0.00082    0.500069375   -0.192628381   -0.692697756
     1     389     0.08255    -0.08445     0.03599    0.500591050   -0.190209462   -0.690800512
     1     389    -0.08255    -0.08445    -0.03599    0.500591050   -0.187017572   -0.687608622
     1     389     0.08255    -0.08445    -0.06952    0.499982463   -0.189193005   -0.689175469
     1     389    -0.08255    -0.08445     0.06952    0.499982463   -0.191521640   -0.691504103
     1     389     0.08255    -0.08445    -0.03435    0.499499814   -0.192617529   -0.692117343
     1     389    -0.08255    -0.08445     0.03435    0.499499814   -0.195836959   -0.695336773
     1     389     0.08255    -0.04223     0.00082    0.483008795   -0.230376203   -0.713384999
     1     389    -0.08255    -0.04223    -0.00082    0.483008795   -0.252117672   -0.735126467
     1     389     0.08255    -0.04223     0.03599    0.483214525   -0.251906054   -0.735120579
     1     389    -0.08255    -0.04223    -0.03599    0.483214525   -0.224622876   -0.707837402
     1     389     0.08255    -0.04223    -0.06952    0.482766383   -0.239053559   -0.721819942
     1     389    -0.08255    -0.04223     0.06952    0.482766383   -0.217202087   -0.699968470
     1     389     0.08255    -0.04223    -0.03435    0.482573635   -0.216727397   -0.699301032
     1     389    -0.08255    -0.04223     0.03435    0.482573635   -0.248673101   -0.731246735
     1     389     0.12383     0.00000     0.00124    0.500200728   -0.237750909   -0.737951637
     1     389    -0.12383     0.00000    -0.00124    0.500200728   -0.237750909   -0.737951637
     1     389     0.12383     0.00000     0.03641    0.500422763   -0.235818231   -0.736240995
     1     389    -0.12383     0.00000    -0.03641    0.500422763   -0.235818232   -0.736240995
     1     389     0.12383     0.00000    -0.06910    0.500488633   -0.232429674   -0.732918307
     1     389    -0.12383     0.00000     0.06910    0.500488633   -0.227483248   -0.727971881
     1     389     0.12383     0.00000    -0.03393    0.500299322   -0.236858054   -0.737157376
     1     389    -0.12383     0.00000     0.03393    0.500299322   -0.235859439   -0.736158761
     1     389     0.12383     0.04223     0.00124    0.506988929   -0.208481963   -0.715470892
     1     389    -0.12383     0.04223    -0.00124    0.506988929   -0.223625297   -0.730614226
     1     389     0.12383     0.04223     0.03641    0.507372718   -0.196036986   -0.703409704
     1     389    -0.12383     0.04223    -0.03641    0.507372718   -0.221232192   -0.728604910
     1     389     0.12383     0.04223    -0.06910    0.507344877   -0.213947821   -0.721292698
     1     389    -0.12383     0.04223     0.06910    0.507344877   -0.196578950   -0.703923827
     1     389     0.12383     0.04223    -0.03393    0.506956098   -0.223841860   -0.730797959
     1     389    -0.12383     0.04223     0.03393    0.506956098   -0.204295909   -0.711252007
     1     389     0.12383     0.08445     0.00124    0.523829206   -0.170194084   -0.694023290
     1     389    -0.12383     0.08445    -0.00124    0.523829206   -0.169732681   -0.693561887
     1     389     0.12383     0.08445     0.03641    0.524587513   -0.167441480   -0.692028993
     1     389    -0.12383     0.08445    -0.03641    0.524587513   -0.167304058   -0.691891571
     1     389     0.12383     0.08445    -0.06910    0.524274004   -0.162386688   -0.686660692
     1     389    -0.12383     0.08445     0.06910    0.524274004   -0.163612729   -0.687886733
     1     389     0.12383     0.08445    -0.03393    0.523516192   -0.167788587   -0.691304779
     1     389    -0.12383     0.08445     0.03393    0.523516192   -0.167973711   -0.691489903
     1     389     0.12383     0.12668     0.00124    0.537607027   -0.125890161   -0.663497187
     1     389    -0.12383     0.12668    -0.00124    0.537607027   -0.127340291   -0.664947318
     1     389     0.12383     0.12668     0.03641    0.539489839   -0.118773202   -0.658263041
     1     389    -0.12383     0.12668    -0.03641    0.539489839   -0.119718662   -0.659208501
     1     389     0.12383     0.12668    -0.06910    0.539833484   -0.110906747   -0.650740230
     1     389    -0.12383     0.12668     0.06910    0.539833484   -0.108129157   -0.647962641
     1     389     0.12383     0.12668    -0.03393    0.537907946   -0.126281291   -0.664189238
     1     389    -0.12383     0.12668     0.03393    0.537907946   -0.124782155   -0.662690101
     1     389     0.12383     0.16890     0.00124    0.518279366   -0.139253108   -0.657532474
     1     389    -0.12383     0.16890    -0.00124    0.518279366   -0.142331671   -0.660611037
     1     389     0.12383     0.16890     0.03641    0.519863745   -0.137401978   -0.657265723
     1     389    -0.12383     0.16890    -0.03641    0.519863745   -0.139209956   -0.659073701
     1     389     0.12383     0.16890    -0.06910    0.520448331   -0.132995192   -0.653443523
     1     389    -0.12383     0.16890     0.06910    0.520448331   -0.133194063   -0.653642394
     1     389     0.12383     0.16890    -0.03393    0.518847358   -0.142560578   -0.661407936
     1     389    -0.12383     0.16890     0.03393    0.518847358   -0.137988185   -0.656835543
     1     389     0.12383     0.21113     0.00124    0.522153051   -0.133299031   -0.655452082
     1     389    -0.12383     0.21113    -0.00124    0.522153051   -0.133300695   -0.655453746
     1     389     0.12383     0.21113     0.03641    0.524084289   -0.129548948   -0.653633237
     1     389    -0.12383     0.21113    -0.03641    0.524084289   -0.129551194   -0.653635483
     1     389     0.12383     0.21113    -0.06910    0.524517729   -0.126396214   -0.650913943
     1     389    -0.12383     0.21113     0.06910    0.524517729   -0.126714133   -0.651231862
     1     389     0.12383     0.21113    -0.03393    0.522592814   -0.132798476   -0.655391290
     1     389    -0.12383     0.21113     0.03393    0.522592814   -0.132928328   -0.655521142
     1     389     0.12383    -0.16890     0.00124    0.518263792   -0.142186321   -0.660450113
     1     389    -0.12383    -0.16890    -0.00124    0.518263792   -0.139250690   -0.657514483
     1     389     0.12383    -0.16890     0.03641    0.519848014   -0.138970492   -0.658818506
     1     389    -0.12383    -0.16890    -0.03641    0.519848014   -0.137382198   -0.657230212
     1     389     0.12383    -0.16890    -0.06910    0.520432601   -0.133139368   -0.653571970
     1     389    -0.12383    -0.16890     0.06910    0.520432601   -0.132788630   -0.653221231
     1     389     0.12383    -0.16890    -0.03393    0.518831791   -0.138029698   -0.656861488
     1     389    -0.12383    -0.16890     0.03393    0.518831791   -0.142388304   -0.661220095
     1     389     0.12383    -0.12668     0.00124    0.537589900   -0.127027321   -0.664617220
     1     389    -0.12383    -0.12668    -0.00124    0.537589900   -0.125584296   -0.663174195
     1     389     0.12383    -0.12668     0.03641    0.539472425   -0.119411921   -0.658884346
     1     389    -0.12383    -0.12668    -0.03641    0.539472425   -0.118483164   -0.657955589
     1     389     0.12383    -0.12668    -0.06910    0.539816018   -0.110098764   -0.649914781
     1     389    -0.12383    -0.12668     0.06910    0.539816018   -0.105705937   -0.645521955
     1     389     0.12383    -0.12668    -0.03393    0.537890782   -0.124478269   -0.662369051
     1     389    -0.12383    -0.12668     0.03393    0.537890782   -0.125961610   -0.663852392
     1     389     0.12383    -0.08445     0.00124    0.523818528   -0.169659463   -0.693477991
     1     389    -0.12383    -0.08445    -0.00124    0.523818528   -0.170122061   -0.693940589
     1     389     0.12383    -0.08445     0.03641    0.524576685   -0.167243390   -0.691820075
     1     389    -0.12383    -0.08445    -0.03641    0.524576685   -0.167385747   -0.691962431
     1     389     0.12383    -0.08445    -0.06910    0.524263235   -0.162261474   -0.686524709
     1     389    -0.12383    -0.08445     0.06910    0.524263235   -0.162966817   -0.687230052
     1     389     0.12383    -0.08445    -0.03393    0.523505575   -0.167903340   -0.691408915
     1     389    -0.12383    -0.08445     0.03393    0.523505575   -0.167723126   -0.691228701
     1     389     0.12383    -0.04223     0.00124    0.506980735   -0.223629719   -0.730610454
     1     389    -0.12383    -0.04223    -0.00124    0.506980735   -0.208473144   -0.715453879
     1     389     0.12383    -0.04223     0.03641    0.507364346   -0.221239629   -0.728603975
     1     389    -0.12383    -0.04223    -0.03641    0.507364346   -0.196031106   -0.703395452
     1     389     0.12383    -0.04223    -0.06910    0.507336580   -0.196596692   -0.703933272
     1     389    -0.12383    -0.04223     0.06910    0.507336580   -0.213960620   -0.721297199
     1     389     0.12383    -0.04223    -0.03393    0.506947977   -0.204280813   -0.711228789
     1     389    -0.12383    -0.04223     0.03393    0.506947977   -0.223856688   -0.730804665
     1     389     0.16511     0.00000     0.00165    0.531850113   -0.188378555   -0.720228668
     1     389    -0.16511     0.00000    -0.00165    0.531850113   -0.188378553   -0.720228665
     1     389     0.16511     0.00000     0.03682    0.531893167   -0.181371642   -0.713264808
     1     389    -0.16511     0.00000    -0.03682    0.531893167   -0.181347934   -0.713241100
